,intervalle,cost,emission,time
0,1,2536.19,4.0,0.23473
1,2,2496.09,4.25886,87.3007
2,3,2338.8,4.23812,915.483
3,4,2191.45,4.39,40.59
4,5,2150.33,4.39488,85.6589
5,6,2172.43,4.45868,1036.32
6,7,2150.75,4.35044,301.682
7,8,2052.43,4.5473,7.19846
8,9,2079.09,4.61324,39.5591
9,10,2035.33,4.45909,19.8301
10,11,2008.76,4.67025,25.5198
11,12,1994.77,4.5838,4.06468
12,13,1984.57,4.56737,4.19832
13,14,1980.14,4.66144,3.01491
14,15,1959.05,4.67634,3.26967
15,16,1981.1,4.56052,4.56281
16,17,1984.03,4.57463,3.60636
17,18,1955.15,4.65052,4.38491
18,19,1936.01,4.73132,1.9885
19,20,1946.19,4.78044,7.50409
20,21,1902.74,4.91919,2.90783
21,22,1887.87,4.8612,3.77573
22,23,1911.06,4.72665,3.75373
23,24,1920.32,4.57219,1.25338
24,25,1945.31,4.49046,1.02041
25,26,1905.75,4.59516,0.757437
26,27,1822.73,4.81105,1.06545
27,28,1819.79,4.87789,3.20824
28,29,1739.52,5.03954,1.31399
29,30,1745.62,5.07456,1.41415
30,31,1713.34,5.20571,1.04058
31,32,1664.29,5.24779,1.00258
32,33,1672.68,5.30294,2.12563
33,34,1615.75,5.43316,0.73056
34,35,1635.6,5.43464,1.6975
35,36,1623.68,5.42971,0.58908
36,37,1647.11,5.39485,0.925637
37,38,1676.21,5.29445,0.674415
38,39,1699.5,5.21979,0.804209
39,40,1719.9,5.18103,0.707265
40,41,1719.55,5.10212,0.5707
41,42,1741.71,5.06681,0.769325
42,43,1750.41,4.99175,0.598333
43,44,1753.1,4.9129,0.268448
44,45,1792.57,4.84799,0.924115
45,46,1815.92,4.75665,0.62217
46,47,1846.69,4.725,0.770821
47,48,1865.55,4.65065,0.772073
48,49,1896.52,4.56257,1.49198
49,50,1927.6,4.5,1.23018
