,intervalle,cost,emission,time
0,1,1458.34,6.0,0.045307
1,2,1085.55,6.78818,0.270983
2,3,1117.94,6.75522,113.815
3,4,1044.58,6.90776,32.0663
4,5,999.723,6.97362,40.9022
5,6,1000.8,6.95068,33.3074
6,7,989.108,6.86277,66.9925
7,8,948.931,6.96687,20.1542
8,9,954.53,6.98359,81.9439
9,10,926.41,6.98551,6.127
10,11,923.779,7.03256,19.4688
11,12,922.25,6.98701,7.37875
12,13,921.579,7.11334,27.2385
13,14,909.364,7.04584,6.1312
14,15,904.37,7.04664,3.98228
15,16,915.976,6.97508,12.269
16,17,891.318,7.20841,4.20276
17,18,869.942,7.1581,5.33072
18,19,867.011,7.22403,1.32889
19,20,879.894,7.10812,3.43498
20,21,869.5,7.08543,3.49027
21,22,862.044,7.06734,3.01947
22,23,875.007,7.04799,2.8987
23,24,873.564,7.0303,4.05468
24,25,885.038,6.99112,3.82723
25,26,805.842,7.36644,2.11404
26,27,738.058,7.40984,0.429108
27,28,743.286,7.3935,0.423397
28,29,746.179,7.37629,0.66346
29,30,748.354,7.35372,0.407532
30,31,760.687,7.33699,0.848338
31,32,762.769,7.32071,0.719919
32,33,768.354,7.29693,0.498653
33,34,767.15,7.29897,0.579832
34,35,772.5,7.28349,0.642378
35,36,778.322,7.26507,0.601523
36,37,785.412,7.25882,0.913856
37,38,789.068,7.24021,0.745163
38,39,800.805,7.21485,0.871439
39,40,806.676,7.19258,0.654194
40,41,812.894,7.17987,1.02211
41,42,819.344,7.1615,1.32411
42,43,822.282,7.14079,0.988993
43,44,828.354,7.10978,0.892014
44,45,837.244,7.09801,1.52719
45,46,846.676,7.07209,2.03619
46,47,850.275,7.05651,0.581563
47,48,858.322,7.03514,1.34329
48,49,866.676,7.01693,1.0664
49,50,875.99,7.0,2.02438
